Date,MKPRU,MKPRUPNZ
27/6/2021,0.016445021,P
26/6/2021,-0.086571988,N
25/6/2021,0.028648248,P
24/6/2021,0.037816984,P
23/6/2021,0.024017761,P
22/6/2021,-0.109737064,N
21/6/2021,0.001919257,P
20/6/2021,-0.005755697,N
19/6/2021,-0.061422127,N
18/6/2021,-0.006701393,N
17/6/2021,-0.046373645,N
16/6/2021,-0.008321612,N
15/6/2021,0.037345758,P
14/6/2021,0.100631922,P
13/6/2021,-0.048730234,N
12/6/2021,0.016581314,P
11/6/2021,-0.016974232,N
10/6/2021,0.116237606,P
9/6/2021,-0.00192989,N
8/6/2021,-0.064253101,N
7/6/2021,0.008043539,P
6/6/2021,-0.036738817,N
5/6/2021,-0.058769147,N
4/6/2021,0.042659033,P
3/6/2021,0.025164582,P
2/6/2021,-0.017365066,N
1/6/2021,0.045564486,P
31/5/2021,0.029927554,P
30/5/2021,-0.029194763,N
29/5/2021,-0.071677701,N
28/5/2021,-0.020902286,N
27/5/2021,0.022273597,P
26/5/2021,-0.008213312,N
25/5/2021,0.114346212,P
24/5/2021,-0.073911155,N
23/5/2021,0.006650957,P
22/5/2021,-0.085914636,N
21/5/2021,0.103344392,P
20/5/2021,-0.138606769,N
19/5/2021,-0.015690573,N
18/5/2021,-0.061268293,N
17/5/2021,-0.006310689,N
16/5/2021,-0.063817692,N
15/5/2021,0.004431387,P
14/5/2021,0.014185294,P
13/5/2021,-0.136438943,N
12/5/2021,0.015505471,P
11/5/2021,-0.041132464,N
10/5/2021,-0.010997677,N
9/5/2021,0.026987325,P
8/5/2021,0.016872958,P
7/5/2021,-0.018183596,N
6/5/2021,0.079477335,P
5/5/2021,-0.069417564,N
4/5/2021,0.010649445,P
3/5/2021,-0.021553645,N
2/5/2021,0.001053349,P
1/5/2021,0.078614105,P
30/4/2021,-0.023685366,N
29/4/2021,-0.003402125,N
28/4/2021,0.018773272,P
27/4/2021,0.101497731,P
26/4/2021,-0.020653344,N
25/4/2021,-0.020381939,N
24/4/2021,-0.011184243,N
23/4/2021,-0.038601307,N
22/4/2021,-0.047765171,N
21/4/2021,0.01444748,P
20/4/2021,-0.00974801,N
19/4/2021,-0.063834178,N
18/4/2021,-0.022274317,N
17/4/2021,-0.028404353,N
16/4/2021,0.004502366,P
15/4/2021,-0.009209742,N
14/4/2021,0.062166227,P
13/4/2021,-0.002170104,N
12/4/2021,0.003193194,P
11/4/2021,0.028766709,P
10/4/2021,0.000930083,P
9/4/2021,0.037558937,P
8/4/2021,-0.03573205,N
7/4/2021,-0.017503272,N
6/4/2021,0.014561076,P
5/4/2021,0.019799045,P
4/4/2021,-0.033115133,N
3/4/2021,0.00501218,P
2/4/2021,2.84E-05,P
1/4/2021,8.72E-05,P
31/3/2021,0.01913074,P
30/3/2021,0.033055528,P
29/3/2021,-0.001435989,N
28/3/2021,0.014334409,P
27/3/2021,0.071155977,P
26/3/2021,-0.020802644,N
25/3/2021,-0.03614761,N
24/3/2021,0.005027215,P
23/3/2021,-0.055846449,N
22/3/2021,-0.01161437,N
21/3/2021,0.000184244,P
20/3/2021,0.007096048,P
19/3/2021,-0.021168503,N
18/3/2021,0.035880686,P
17/3/2021,0.020046016,P
16/3/2021,-0.057137692,N
15/3/2021,-0.034693178,N
14/3/2021,0.069960184,P
13/3/2021,-0.008841493,N
12/3/2021,0.031551025,P
11/3/2021,0.02032943,P
10/3/2021,0.04937329,P
9/3/2021,0.022076151,P
8/3/2021,0.046809238,P
7/3/2021,0.000413619,P
6/3/2021,0.008513504,P
