Date,MKPRU,MKPRUPNZN,MKPRUPNZ,MKTCP,TRFEE,TRFUS,NTRAN,NTREP,NTRBL,TOUTV,CPTRA,HRATE,MIREV,AVBLS,TRVOU,LTCPCUSD
9/1/2022,0.00392241,1,P,-0.036886606,-0.322225164,-0.34725767,-0.123192407,-0.122954745,-0.147548173,-0.220761806,0.123563747,0.031500767,-0.014850775,-0.195584961,0.24214914,-0.0137
8/1/2022,-0.036933366,0,N,-0.007213955,-0.061141371,-0.067961665,-0.035930675,-0.035832296,0.005386581,-0.047980005,-0.012922209,-0.04109589,-0.048388581,0.073788404,-0.147942163,-0.036
7/1/2022,-0.007264453,0,N,-0.052864613,-0.038215643,-0.089107842,-0.026661278,-0.027116697,5.54E-06,-0.068579816,-0.053106309,-0.026666667,-0.078351705,-0.038140761,0.871234659,0.0074
6/1/2022,-0.052914355,0,N,-0.012422689,0.192389598,0.177523622,-0.008701702,-0.001848789,-0.028527668,0.278456778,0.018973795,0.020408163,0.010106989,0.032609532,0.231963591,-0.0784
5/1/2022,-0.012467381,0,N,-0.018669958,0.146267048,0.124811296,0.169302322,0.161634922,0.113621259,-0.060684148,-0.117780801,0.05,0.031580958,0.008904384,0.574568734,-0.0121
4/1/2022,-0.018717935,0,N,-0.009073825,0.251840974,0.236414954,0.192659945,0.192712736,0.346001938,0.513544794,-0.266510622,-0.113924051,-0.129578221,0.504023314,-0.294859811,-0.0185
3/1/2022,-0.009117036,0,N,0.032791208,-0.005984287,0.029882116,0.053689371,0.053882896,0.147054252,-0.030629087,-0.092275962,-0.081395349,-0.038726103,0.129689904,-0.424952002,0.0027
2/1/2022,0.032730474,1,P,-0.018691821,-0.484666594,-0.494325345,-0.306841285,-0.306893127,-0.399531113,-0.273292379,0.616930277,0.154362416,0.120789312,-0.499508811,0.176061056,0.0308
1/1/2022,-0.018742723,0,N,0.015647708,0.023691075,0.039663118,0.100068974,0.100056878,-0.121421424,0.010562723,0.151071505,0.25210084,0.266258049,-0.032085904,0.005721857,-0.0122
31/12/2021,0.015602405,1,P,-0.025009922,0.075864992,0.048915061,-0.112509644,-0.112539084,0.081395812,-0.098070552,-0.093447871,-0.179310345,-0.195443728,0.027269346,-0.258884406,0.0186
30/12/2021,-0.025049547,0,N,-0.060929974,-0.081269214,-0.137290219,0.040166226,0.03985001,-0.038742936,0.067377047,-0.026209087,0.082089552,0.012904419,-0.046736399,0.848872071,-0.0021
29/12/2021,-0.060976519,0,N,-0.002093078,0.357284794,0.35437765,0.063611009,0.063799531,0.174734547,0.045846892,-0.144620679,-0.094594595,-0.090209138,0.196768743,0.368700762,-0.0654
